text,label
"The product arrived quickly and works perfectly. I am very satisfied.",1
"This app is slow and constantly crashes, making it unusable.",0
"Great value for the price. I highly recommend it to everyone.",1
"The customer service was terrible; they never responded to my inquiry.",0
"It's an average movie, nothing special, but not bad either.",1
"I found the instructions confusing and the assembly difficult.",0
"Best purchase I've made all year, the quality is outstanding.",1
"Disappointed with the size and the color was not as advertised.",0
"This is a game-changer for my workflow, absolutely brilliant.",1
"Wouldn't buy this again. It broke after only a week of use.",0